,Tram_2,Tram_10,Tram_13,Tram_24,Tram_38
397,5.0,9.0,9.0,8.0,9.0
398,7.0,9.0,17.0,15.0,12.0
399,12.0,12.0,18.0,24.0,14.0
400,14.0,13.0,13.0,19.0,22.0
401,17.0,15.0,19.0,21.0,16.0
402,16.0,21.0,25.0,22.0,15.0
403,16.0,21.0,20.0,15.0,15.0
404,15.0,17.0,19.0,16.0,16.0
405,17.0,23.0,19.0,18.0,24.0
406,16.0,19.0,25.0,20.0,15.0
407,15.0,22.0,13.0,15.0,19.0
408,15.0,22.0,13.0,11.0,18.0
409,16.0,22.0,15.0,20.0,16.0
410,15.0,21.0,18.0,12.0,15.0
411,13.0,18.0,9.0,14.0,16.0
412,10.0,16.0,14.0,15.0,12.0
413,11.0,15.0,18.0,21.0,16.0
414,13.0,11.0,22.0,19.0,26.0
415,9.0,15.0,19.0,17.0,12.0
416,8.0,25.0,28.0,23.0,17.0
417,9.0,22.0,23.0,24.0,16.0
418,13.0,19.0,21.0,23.0,21.0
419,11.0,26.0,15.0,17.0,11.0
420,9.0,19.0,17.0,15.0,5.0
421,12.0,20.0,15.0,17.0,8.0
422,15.0,16.0,11.0,19.0,13.0
423,15.0,17.0,15.0,15.0,11.0
424,27.0,16.0,21.0,18.0,5.0
425,26.0,18.0,17.0,25.0,11.0
426,21.0,17.0,18.0,26.0,40.0
427,17.0,14.0,12.0,18.0,22.0
428,14.0,13.0,9.0,12.0,19.0
429,14.0,13.0,16.0,19.0,14.0
430,10.0,13.0,15.0,20.0,12.0
431,14.0,18.0,21.0,24.0,20.0
432,13.0,16.0,13.0,14.0,17.0
433,12.0,14.0,14.0,16.0,12.0
434,11.0,16.0,18.0,18.0,9.0
435,11.0,14.0,16.0,18.0,13.0
436,10.0,17.0,12.0,23.0,11.0
437,11.0,16.0,15.0,14.0,14.0
438,9.0,9.0,16.0,17.0,16.0
439,7.0,13.0,14.0,16.0,13.0
440,9.0,15.0,13.0,18.0,10.0
441,8.0,18.0,13.0,17.0,11.0
442,10.0,15.0,18.0,14.0,13.0
443,8.0,19.0,15.0,18.0,8.0
444,10.0,18.0,16.0,18.0,10.0
445,13.0,16.0,12.0,18.0,14.0
446,15.0,19.0,15.0,16.0,17.0
447,15.0,18.0,19.0,22.0,14.0
448,12.0,18.0,18.0,11.0,16.0
449,13.0,17.0,25.0,15.0,16.0
450,11.0,18.0,23.0,22.0,18.0
451,10.0,13.0,11.0,14.0,13.0
452,11.0,13.0,16.0,10.0,8.0
453,11.0,13.0,10.0,15.0,13.0
454,12.0,14.0,16.0,16.0,17.0
455,10.0,14.0,17.0,24.0,13.0
456,10.0,12.0,13.0,20.0,12.0
